specific_capacity,voltage,direction
8.81E-06,0.64797753,charge
0.468285263,0.76867241,charge
0.936556151,0.81366628,charge
1.404829486,0.84817362,charge
1.873100603,0.87847638,charge
2.341358586,0.90624714,charge
2.809627179,0.93217349,charge
3.277901882,0.95653784,charge
3.746163497,0.97959238,charge
4.214432043,1.0015318,charge
4.68269936,1.0225394,charge
5.150962217,1.0426878,charge
5.619227441,1.0620608,charge
6.087506153,1.0807924,charge
6.555776605,1.0987908,charge
7.024041054,1.1162544,charge
7.492311472,1.1329621,charge
7.960578465,1.1489784,charge
8.428849205,1.1644677,charge
8.897118563,1.1793499,charge
9.365387903,1.1935751,charge
9.833662579,1.2071207,charge
10.3019393,1.2202499,charge
10.77021493,1.232856,charge
11.23848032,1.2449619,charge
11.70674862,1.2563918,charge
12.17500583,1.2676002,charge
12.64325936,1.2781554,charge
13.11150973,1.288371,charge
13.57976479,1.2980061,charge
14.04803252,1.3072629,charge
14.51630776,1.3160081,charge
14.98457649,1.324421,charge
15.45284397,1.3324484,charge
15.92111073,1.3399715,charge
16.38937325,1.3473839,charge
16.85763976,1.3543304,charge
17.32590898,1.3608302,charge
17.79418008,1.367242,charge
18.26245121,1.3733715,charge
18.73071178,1.3791837,charge
19.19897408,1.3847517,charge
19.66724411,1.3901591,charge
20.13551564,1.3952879,charge
20.60377976,1.4002639,charge
21.07204579,1.4049877,charge
21.54031335,1.4095857,charge
22.00857179,1.4140233,charge
22.47682877,1.4182889,charge
22.94508873,1.4223675,charge
23.41335809,1.4263085,charge
23.8816255,1.4301503,charge
24.34989368,1.4338471,charge
24.81816388,1.4373336,charge
25.28643576,1.4408852,charge
25.7547031,1.4441961,charge
26.22297315,1.4474765,charge
26.6912521,1.4506959,charge
27.15953347,1.453747,charge
27.62780701,1.4565768,charge
28.09608099,1.4594792,charge
28.56435877,1.4622173,charge
29.0326303,1.4650509,charge
29.50089922,1.4676325,charge
29.9691666,1.4701797,charge
30.43742947,1.4727459,charge
30.90569482,1.4750907,charge
31.37395811,1.4773439,charge
31.84222538,1.4798146,charge
32.3104867,1.4818578,charge
32.77875245,1.484111,charge
33.2470141,1.4862686,charge
33.71527683,1.4883575,charge
34.18353766,1.4904312,charge
34.65179764,1.4923215,charge
35.12005662,1.494296,charge
35.58832454,1.4961594,charge
36.05659039,1.4980078,charge
36.52485392,1.4998447,charge
36.99312084,1.5016816,charge
37.46138504,1.5034076,charge
37.92965302,1.5048283,charge
38.39792825,1.5066727,charge
38.86620703,1.5083531,charge
39.33448554,1.509896,charge
39.80276287,1.5114961,charge
40.27102983,1.5130198,charge
40.73930158,1.5144938,charge
41.20756769,1.5160253,charge
41.67583153,1.5173466,charge
42.14410146,1.5188588,charge
